model,kind,priority,parse,parent,element_count,face_count,explicit_uv_faces,auto_uv_faces,uv_problem_count,uv_problems,fractional_uv_faces,rotation_element_count,texture_slot_count,texture_refs,missing_texture_count,exact_original_texture_refs,adapted_or_new_texture_refs,builtin_entity,explicit_display_contexts,comparison_basis,status,problems
item/addon_completion_ledger.json,item,P1,OK,minecraft:item/generated,0,0,0,0,0,,0,0,1,layer0=thaumcraft:item/addon_completion_ledger,0,0,1,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/advanced_alchemical_furnace.json,item,P1,OK,thaumcraft:block/advanced_alchemical_furnace,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/advanced_essentia_speed_card.json,item,P1,OK,minecraft:item/generated,0,0,0,0,0,,0,0,1,layer0=thaumcraft:item/advanced_essentia_speed_card,0,0,1,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/advanced_node_stabilizer.json,item,P0,OK,builtin/entity,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/aer_crystal.json,item,P1,OK,thaumcraft:block/aer_crystal,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/aer_shard.json,item,P1,OK,minecraft:item/generated,0,0,0,0,0,,0,0,1,layer0=thaumcraft:item/aer_shard,0,0,1,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/alchemical_centrifuge.json,item,P1,OK,minecraft:block/block,4,24,0,24,0,,0,0,2,all=thaumcraft:models/centrifuge | particle=thaumcraft:models/centrifuge,0,2,0,False,fixed | ground | gui,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,MATCH_STATIC_RESOURCE_CHAIN,
item/alchemical_furnace.json,item,P1,OK,thaumcraft:block/alchemical_furnace,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/alchemy_dust.json,item,P1,OK,minecraft:item/generated,0,0,0,0,0,,0,0,1,layer0=thaumcraft:item/alchemy_dust,0,1,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,MATCH_STATIC_RESOURCE_CHAIN,
item/alembic.json,item,P1,OK,thaumcraft:block/alembic,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/amber.json,item,P1,OK,minecraft:item/generated,0,0,0,0,0,,0,0,1,layer0=thaumcraft:item/amber,0,1,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,MATCH_STATIC_RESOURCE_CHAIN,
item/amber_block.json,item,P1,OK,thaumcraft:block/amber_block,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/amber_bricks.json,item,P1,OK,thaumcraft:block/amber_bricks,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/amber_ore.json,item,P1,OK,thaumcraft:block/amber_ore,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/aqua_crystal.json,item,P1,OK,thaumcraft:block/aqua_crystal,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/aqua_shard.json,item,P1,OK,minecraft:item/generated,0,0,0,0,0,,0,0,1,layer0=thaumcraft:item/aqua_shard,0,0,1,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
item/arcane_assembler.json,item,P1,OK,thaumcraft:block/arcane_assembler,0,0,0,0,0,,0,0,0,,0,0,0,False,,Modern JSON has no one-to-one TC4 1.7.10 JSON counterpart; UV parity requires legacy model/TESR source or runtime side-by-side.,ADAPTED_STATIC_VALID,
